population,known_relationship_type,mean_log_R_sum,median_log_R_sum,min_log_R_sum,max_log_R_sum,count
AfAm,cousins,-0.533479008177888,2.4159926775259892,-24.99196378631329,30.905359444639668,6000
AfAm,full_siblings,10.454165128603256,11.478631485075244,-24.99196378631329,65.03498591118593,6000
AfAm,half_siblings,3.8495822486800035,6.796550880017326,-24.99196378631329,37.65493410066564,6000
AfAm,parent_child,19.622113877600345,19.014941818546735,0,56.58618485903085,6000
AfAm,second_cousins,-1.2294316972568295,1.7766499664149025,-24.99196378631329,27.84826993203434,6000
AfAm,unrelated,-2.003701235050455,0.9142164201294665,-25.55423948685124,32.684262517703615,60000
Asian,cousins,-0.5379708794184888,2.4192252850233062,-24.99196378631329,35.467787163218546,6000
Asian,full_siblings,10.458528906994685,11.608910049868795,-24.99196378631329,71.75687055919111,6000
Asian,half_siblings,3.821000313007926,6.7849982733654866,-24.99196378631329,41.93830332842674,6000
Asian,parent_child,19.542674412804296,18.865758849311334,0,56.82496028524932,6000
Asian,second_cousins,-1.3869996652307754,1.7161693730747904,-24.99196378631329,27.01795527656032,6000
Asian,unrelated,-1.9829830488839333,0.9169624164995658,-24.99196378631329,34.13638661724872,60000
Cauc,cousins,-0.5075910761072058,2.4638315908835926,-24.99196378631329,31.281396937662617,6000
Cauc,full_siblings,10.482753367644055,11.64789317757766,-24.99196378631329,66.6913705596498,6000
Cauc,half_siblings,3.873924394479441,6.8165578608144095,-24.99196378631329,45.29779548876509,6000
Cauc,parent_child,19.510394177724883,18.86804104733243,0,65.46780054919589,6000
Cauc,second_cousins,-1.2184283215622083,1.7315358032595478,-24.99196378631329,31.889634425669957,6000
Cauc,unrelated,-1.9822074530823652,0.9335395091336413,-24.99196378631329,36.06449139747789,60000
Hispanic,cousins,-0.5536142624642395,2.4990362761317675,-24.99196378631329,26.000047777905912,6000
Hispanic,full_siblings,10.409719057278764,11.583768383930234,-24.99196378631329,73.87189693017316,6000
Hispanic,half_siblings,3.83723687350026,6.767063087232608,-24.99196378631329,41.39636353087173,6000
Hispanic,parent_child,19.58039018127733,18.939051039991547,0,57.53328424634029,6000
Hispanic,second_cousins,-1.2499790634103816,1.8208571505822255,-24.99196378631329,31.747132569398424,6000
Hispanic,unrelated,-1.9849047682894865,0.9113147554044092,-25.20140379749799,35.77833888638502,60000
